ko;pathname;genesymbol
K00001;Naphthalene;E1.1.1.1
K00001;Cytochrome P450;E1.1.1.1
K00001;Aromatic;E1.1.1.1
K00001;Cl. alkane and Cl.alkene;E1.1.1.1
K00002;Aromatic;AKR1A1
K00002;Caprolactam;AKR1A1
K00022;Caprolactam;HADH
K00055;Xylene;E1.1.1.90
K00055;Toluene;E1.1.1.90
K00055;Aromatic;E1.1.1.90
K00074;Benzoate;paaH
K00078;Cytochrome P450;DHDH
K00079;Cytochrome P450;CBR1
K00081;Cytochrome P450;CBR2
K00084;Cytochrome P450;CBR3
K00114;Cl. alkane and Cl.alkene;exaA
K00121;Aromatic;frmA
K00121;Naphthalene;frmA
K00121;Cytochrome P450;frmA
K00121;Cl. alkane and Cl.alkene;frmA
K00128;Cl. alkane and Cl.alkene;ALDH
K00129;Cytochrome P450;ALDH3
K00141;Aromatic;xylC
K00141;Toluene;xylC
K00141;Aminobenzoate;xylC
K00141;Xylene;xylC
K00146;Styrene;feaB
K00148;Cl. alkane and Cl.alkene;fdhA
K00151;Aromatic;hpaE
K00152;Aromatic;nahF
K00152;Naphthalene;nahF
K00169;Nitrotoluene;porA
K00170;Nitrotoluene;porB
K00171;Nitrotoluene;porD
K00172;Nitrotoluene;porC
K00189;Nitrotoluene;vorG
K00196;Nitrotoluene;cooF
K00198;Nitrotoluene;cooS
K00212;Cytochrome P450;AKR1C1
K00217;Cl. cyclohexane and Cl. benzene;E1.3.1.32
K00217;Toluene;E1.3.1.32
K00217;Benzoate;E1.3.1.32
K00217;Fluorobenzoate;E1.3.1.32
K00217;Aromatic;E1.3.1.32
K00252;Benzoate;GCDH
K00446;Benzoate;dmpB
K00446;Aromatic;dmpB
K00446;Xylene;dmpB
K00446;Styrene;dmpB
K00446;Cl. cyclohexane and Cl. benzene;dmpB
K00448;PAH;pcaG
K00448;Aromatic;pcaG
K00448;Benzoate;pcaG
K00449;PAH;pcaH
K00449;Aromatic;pcaH
K00449;Benzoate;pcaH
K00451;Styrene;HGD
K00455;Aromatic;hpaD
K00462;Aromatic;bphC
K00462;Cl. cyclohexane and Cl. benzene;bphC
K00462;Dioxin;bphC
K00480;Aromatic;E1.14.13.1
K00480;Dioxin;E1.14.13.1
K00480;Naphthalene;E1.14.13.1
K00480;PAH;E1.14.13.1
K00481;Aromatic;pobA
K00481;Benzoate;pobA
K00483;Aromatic;hpaB
K00484;Aromatic;hpaC
K00487;Aromatic;CYP73A
K00496;Caprolactam;alkB1_2
K00529;Aromatic;hcaD
K00531;Cl. alkane and Cl.alkene;anfG
K00622;Nitrotoluene;nat
K00626;Benzoate;ACAT
K00632;Benzoate;fadA
K00632;Ethylbenzene;fadA
K00699;Cytochrome P450;UGT
K00799;Cytochrome P450;GST
K01026;Styrene;pct
K01031;Benzoate;pcaI
K01032;Benzoate;pcaJ
K01034;Aminobenzoate;atoD
K01035;Aminobenzoate;atoA
K01039;Styrene;gctA
K01040;Styrene;gctB
K01053;Aromatic;gnl
K01053;Caprolactam;gnl
K01055;Benzoate;pcaD
K01055;Aromatic;pcaD
K01061;Toluene;E3.1.1.45
K01061;Fluorobenzoate;E3.1.1.45
K01061;Cl. cyclohexane and Cl. benzene;E3.1.1.45
K01075;Benzoate;E3.1.2.23
K01101;Aminobenzoate;E3.1.3.41
K01253;Cytochrome P450;EPHX1
K01426;Aminobenzoate;E3.5.1.4
K01426;Styrene;E3.5.1.4
K01427;Atrazine;URE
K01428;Atrazine;ureC
K01429;Atrazine;ureB
K01430;Atrazine;ureA
K01453;Caprolactam;nylB
K01457;Atrazine;atzF
K01471;Caprolactam;nylA
K01501;Styrene;E3.5.5.1
K01501;Aminobenzoate;E3.5.5.1
K01502;Styrene;E3.5.5.7
K01512;Aminobenzoate;acyP
K01555;Styrene;FAH
K01560;Cl. alkane and Cl.alkene;E3.8.1.2
K01560;Cl. cyclohexane and Cl. benzene;E3.8.1.2
K01561;Cl. cyclohexane and Cl. benzene;dehH
K01561;Cl. alkane and Cl.alkene;dehH
K01563;Cl. cyclohexane and Cl. benzene;dhaA
K01563;Cl. alkane and Cl.alkene;dhaA
K01576;Aminobenzoate;mdlC
K01607;Benzoate;pcaC
K01607;Aromatic;pcaC
K01612;Aromatic;bsdC
K01612;Aminobenzoate;bsdC
K01615;Benzoate;gcdA
K01617;Xylene;dmpH
K01617;Aromatic;dmpH
K01617;Benzoate;dmpH
K01617;Dioxin;dmpH
K01666;Xylene;mhpE
K01666;Dioxin;mhpE
K01666;Benzoate;mhpE
K01666;Aromatic;mhpE
K01670;Naphthalene;nmsA
K01670;Aromatic;nmsA
K01692;Benzoate;paaF
K01692;Aminobenzoate;paaF
K01692;Caprolactam;paaF
K01721;Styrene;nthA
K01721;Fluorobenzoate;nthA
K01721;Aminobenzoate;nthA
K01781;Aminobenzoate;mdlA
K01782;Benzoate;fadJ
K01782;Caprolactam;fadJ
K01800;Styrene;maiA
K01821;Benzoate;praC
K01821;Dioxin;praC
K01821;Xylene;praC
K01821;Aromatic;praC
K01822;Steroid;E5.3.3.1
K01825;Caprolactam;fadB
K01825;Benzoate;fadB
K01826;Aromatic;hpaF
K01856;Fluorobenzoate;catB
K01856;Benzoate;catB
K01856;Aromatic;catB
K01856;Cl. cyclohexane and Cl. benzene;catB
K01856;Toluene;catB
K01857;Aromatic;pcaB
K01857;Benzoate;pcaB
K01860;Fluorobenzoate;E5.5.1.7
K01860;Toluene;E5.5.1.7
K01860;Cl. cyclohexane and Cl. benzene;E5.5.1.7
K01865;Aminobenzoate;hab
K01941;Atrazine;uca
K02554;Dioxin;mhpD
K02554;Aromatic;mhpD
K02554;Xylene;mhpD
K02554;Benzoate;mhpD
K02586;Cl. alkane and Cl.alkene;nifD
K02588;Cl. alkane and Cl.alkene;nifH
K02591;Cl. alkane and Cl.alkene;nifK
K03186;Aromatic;ubiX
K03186;Aminobenzoate;ubiX
K03268;Benzoate;todC1
K03268;Cl. alkane and Cl.alkene;todC1
K03268;Aromatic;todC1
K03268;Cl. cyclohexane and Cl. benzene;todC1
K03268;Toluene;todC1
K03333;Steroid;choD
K03379;Aromatic;chnB
K03379;Caprolactam;chnB
K03380;Toluene;E1.14.13.7
K03380;Aminobenzoate;E1.14.13.7
K03381;Cl. cyclohexane and Cl. benzene;catA
K03381;Toluene;catA
K03381;Benzoate;catA
K03381;Fluorobenzoate;catA
K03381;Aromatic;catA
K03382;Atrazine;atzB
K03383;Atrazine;atzD
K03391;Cl. cyclohexane and Cl. benzene;pcpB
K03391;Fluorobenzoate;pcpB
K03464;Aromatic;catC
K03464;Benzoate;catC
K03862;Aminobenzoate;vanA
K03863;Aminobenzoate;vanB
K04072;Cl. alkane and Cl.alkene;adhE
K04072;Aromatic;adhE
K04072;Naphthalene;adhE
K04073;Xylene;mhpF
K04073;Benzoate;mhpF
K04073;Dioxin;mhpF
K04073;Aromatic;mhpF
K04097;Cytochrome P450;HPGDS
K04098;Benzoate;chqB
K04098;Cl. cyclohexane and Cl. benzene;chqB
K04099;Aminobenzoate;desB
K04100;Benzoate;ligA
K04100;Aminobenzoate;ligA
K04100;PAH;ligA
K04101;PAH;ligB
K04101;Aminobenzoate;ligB
K04101;Benzoate;ligB
K04102;PAH;pht5
K04105;Aromatic;hbaA
K04105;Benzoate;hbaA
K04105;Aminobenzoate;hbaA
K04107;Aromatic;hcrC
K04107;Benzoate;hcrC
K04107;Aminobenzoate;hcrC
K04108;Aminobenzoate;hcrA
K04108;Aromatic;hcrA
K04108;Benzoate;hcrA
K04109;Aminobenzoate;hcrB
K04109;Benzoate;hcrB
K04109;Aromatic;hcrB
K04110;Benzoate;badA
K04110;Aminobenzoate;badA
K04112;Aromatic;bcrC
K04112;Benzoate;bcrC
K04113;Aromatic;bcrB
K04113;Benzoate;bcrB
K04114;Aromatic;bcrA
K04114;Benzoate;bcrA
K04115;Aromatic;bcrD
K04115;Benzoate;bcrD
K04116;Benzoate;aliA
K04117;Benzoate;aliB
K04118;Benzoate;E1.3.1.62
K05296;Steroid;E1.1.1.51
K05394;Atrazine;atzA
K05549;Fluorobenzoate;benA-xylX
K05549;Aromatic;benA-xylX
K05549;Xylene;benA-xylX
K05549;Benzoate;benA-xylX
K05550;Benzoate;benB-xylY
K05550;Fluorobenzoate;benB-xylY
K05550;Xylene;benB-xylY
K05550;Aromatic;benB-xylY
K05599;Aminobenzoate;antA
K05600;Aminobenzoate;antB
K05708;Aromatic;hcaE
K05709;Aromatic;hcaF
K05710;Aromatic;hcaC
K05711;Aromatic;hcaB
K05712;Aromatic;mhpA
K05713;Aromatic;mhpB
K05714;Aromatic;mhpC
K05783;Aromatic;benD-xylL
K05783;Benzoate;benD-xylL
K05783;Xylene;benD-xylL
K05783;Fluorobenzoate;benD-xylL
K05784;Xylene;benC-xylZ
K05784;Benzoate;benC-xylZ
K05784;Aromatic;benC-xylZ
K05784;Fluorobenzoate;benC-xylZ
K05797;Toluene;pchF
K05898;Steroid;kstD
K05913;Bisphenol;dad
K05921;Aromatic;hpaG
K06035;Atrazine;DDI2_3
K06281;Nitrotoluene;hyaB
K06282;Nitrotoluene;hyaA
K06446;Caprolactam;DCAA
K06912;Cl. cyclohexane and Cl. benzene;tfdA
K06912;Aromatic;tfdA
K07104;Benzoate;catE
K07104;Xylene;catE
K07104;Aromatic;catE
K07104;Styrene;catE
K07104;Cl. cyclohexane and Cl. benzene;catE
K07408;Cytochrome P450;CYP1A1
K07409;Cytochrome P450;CYP1A2
K07410;Cytochrome P450;CYP1B1
K07415;Cytochrome P450;CYP2E1
K07416;Cytochrome P450;CYP2F
K07420;Cytochrome P450;CYP2S1
K07511;Aminobenzoate;ECHS1
K07511;Caprolactam;ECHS1
K07514;Aminobenzoate;EHHADH
K07514;Caprolactam;EHHADH
K07515;Aminobenzoate;HADHA
K07515;Caprolactam;HADHA
K07516;Benzoate;fadN
K07534;Benzoate;badK
K07534;Aromatic;badK
K07535;Benzoate;badH
K07535;Aromatic;badH
K07536;Benzoate;badI
K07536;Aromatic;badI
K07537;Benzoate;dch
K07537;Aromatic;dch
K07538;Benzoate;had
K07538;Aromatic;had
K07539;Benzoate;oah
K07539;Aromatic;oah
K07540;Aromatic;E4.1.99.11
K07540;Toluene;E4.1.99.11
K07543;Toluene;bbsE
K07543;Aromatic;bbsE
K07544;Toluene;bbsF
K07544;Aromatic;bbsF
K07545;Aromatic;bbsG
K07545;Toluene;bbsG
K07546;Toluene;bbsH
K07546;Aromatic;bbsH
K07547;Toluene;bbsC
K07547;Aromatic;bbsC
K07548;Toluene;bbsD
K07548;Aromatic;bbsD
K07549;Toluene;bbsA
K07549;Aromatic;bbsA
K07550;Toluene;bbsB
K07550;Aromatic;bbsB
K07823;Benzoate;pcaF
K07824;Aromatic;CYP53A1
K07824;Benzoate;CYP53A1
K07824;Aminobenzoate;CYP53A1
K08295;Aminobenzoate;abmG
K08686;Fluorobenzoate;cbdA
K08686;Aromatic;cbdA
K08689;Dioxin;bphAa
K08689;Aromatic;bphAa
K08690;Aromatic;bphB
K08690;Dioxin;bphB
K08710;Atrazine;atzC
K08726;Cl. alkane and Cl.alkene;EPHX2
K09461;Aminobenzoate;E1.14.13.40
K10215;Aminobenzoate;ethA
K10216;Benzoate;dmpD
K10216;Styrene;dmpD
K10216;Xylene;dmpD
K10216;Aromatic;dmpD
K10217;Aromatic;dmpC
K10217;Benzoate;dmpC
K10217;Xylene;dmpC
K10218;Benzoate;ligK
K10219;Aromatic;ligC
K10219;Aminobenzoate;ligC
K10219;Benzoate;ligC
K10220;Benzoate;ligJ
K10221;Aminobenzoate;ligI
K10221;Benzoate;ligI
K10222;Dioxin;bphD
K10222;Aromatic;bphD
K10437;Styrene;PHAA
K10438;Styrene;PHACB
K10566;Styrene;oxdB
K10616;Aromatic;cymAa
K10616;Xylene;cymAa
K10617;Xylene;cymB
K10617;Aromatic;cymB
K10618;Xylene;cymC
K10618;Aromatic;cymC
K10619;Xylene;cmtAb
K10619;Aromatic;cmtAb
K10620;Aromatic;cmtB
K10620;Xylene;cmtB
K10621;Benzoate;cmtC
K10621;Xylene;cmtC
K10621;Aromatic;cmtC
K10622;Benzoate;cmtD
K10622;Aromatic;cmtD
K10622;Xylene;cmtD
K10623;Xylene;cmtE
K10623;Aromatic;cmtE
K10676;Aromatic;tfdB
K10676;Cl. cyclohexane and Cl. benzene;tfdB
K10678;Nitrotoluene;nfsA
K10679;Nitrotoluene;nfnB
K10680;Nitrotoluene;nemA
K10700;Ethylbenzene;ebdA
K10700;Aromatic;ebdA
K10701;Aromatic;apc
K10701;Ethylbenzene;apc
K10702;Xylene;todF
K10702;Aromatic;todF
K11180;Nitrotoluene;dsrA
K11181;Nitrotoluene;dsrB
K11311;Aminobenzoate;antC
K11822;Cytochrome P450;SULT2A
K11943;Aromatic;nidA
K11943;PAH;nidA
K11944;PAH;nidB
K11944;Aromatic;nidB
K11945;Aromatic;phdF
K11945;PAH;phdF
K11946;PAH;phdG
K11946;Aromatic;phdG
K11947;PAH;nidD
K11947;Aromatic;nidD
K11948;PAH;phdI
K11949;PAH;phdJ
K13299;Cytochrome P450;GSTK1
K13767;Benzoate;fadB
K13951;Cytochrome P450;ADH1_7
K13952;Cytochrome P450;ADH6
K13953;Aromatic;adhP
K13953;Naphthalene;adhP
K13953;Cytochrome P450;adhP
K13953;Cl. alkane and Cl.alkene;adhP
K13954;Naphthalene;yiaY
K13954;Aromatic;yiaY
K13954;Cl. alkane and Cl.alkene;yiaY
K13980;Cytochrome P450;ADH4
K14028;Cl. alkane and Cl.alkene;mdh1
K14029;Cl. alkane and Cl.alkene;mdh2
K14048;Atrazine;ureAB
K14333;Aminobenzoate;DHBD
K14333;Benzoate;DHBD
K14334;Benzoate;CMLE
K14338;Aminobenzoate;cypD_E
K14417;Fluorobenzoate;fcbA
K14418;Fluorobenzoate;fcbB
K14419;Cl. alkane and Cl.alkene;caaD1
K14420;Cl. alkane and Cl.alkene;caaD2
