ko;pathname;genesymbol
K14421;Cl. alkane and Cl.alkene;cis-caaD
K14422;Cl. alkane and Cl.alkene;msaD
K14481;Styrene;styA
K14482;Styrene;styB
K14519;Caprolactam;aldH
K14519;Aromatic;aldH
K14520;Bisphenol;hapE
K14541;Atrazine;DUR1
K14578;Ethylbenzene;nahAb
K14578;Aminobenzoate;nahAb
K14578;Nitrotoluene;nahAb
K14578;PAH;nahAb
K14578;Aromatic;nahAb
K14578;Naphthalene;nahAb
K14579;PAH;nahAc
K14579;Aminobenzoate;nahAc
K14579;Aromatic;nahAc
K14579;Ethylbenzene;nahAc
K14579;Nitrotoluene;nahAc
K14579;Naphthalene;nahAc
K14580;Naphthalene;nahAd
K14580;Aminobenzoate;nahAd
K14580;Ethylbenzene;nahAd
K14580;PAH;nahAd
K14580;Nitrotoluene;nahAd
K14580;Aromatic;nahAd
K14581;Nitrotoluene;nahAa
K14581;Aminobenzoate;nahAa
K14581;Ethylbenzene;nahAa
K14581;Naphthalene;nahAa
K14581;PAH;nahAa
K14581;Aromatic;nahAa
K14582;Aromatic;nahB
K14582;PAH;nahB
K14582;Naphthalene;nahB
K14583;Naphthalene;nahC
K14583;Aromatic;nahC
K14584;Naphthalene;nahD
K14584;Aromatic;nahD
K14585;Naphthalene;nahE
K14585;Aromatic;nahE
K14586;Naphthalene;nmoAB
K14599;Dioxin;dbfA1
K14599;Aromatic;dbfA1
K14599;PAH;dbfA1
K14600;PAH;dbfA2
K14600;Dioxin;dbfA2
K14600;Aromatic;dbfA2
K14601;PAH;flnB
K14602;PAH;flnD1
K14603;PAH;flnD2
K14604;PAH;flnE
K14727;Benzoate;pcaL
K14727;Aromatic;pcaL
K14731;Aromatic;mlhB
K14731;Caprolactam;mlhB
K14746;Ethylbenzene;ped
K14746;Aromatic;ped
K14747;Ethylbenzene;bal
K14747;Aromatic;bal
K14748;Ethylbenzene;etbAa
K14748;Aromatic;etbAa
K14749;Ethylbenzene;etbAb
K14749;Aromatic;etbAb
K14750;Aromatic;etbAc
K14750;Ethylbenzene;etbAc
K14751;Ethylbenzene;etbC
K14751;Aromatic;etbC
K15054;Aminobenzoate;mdlB
K15055;Aminobenzoate;nbaA
K15056;Aminobenzoate;nbaB
K15057;Aminobenzoate;nbzA
K15058;Aminobenzoate;amnA
K15059;Aminobenzoate;amnB
K15060;Aminobenzoate;ligXa
K15061;Aminobenzoate;ligZ
K15062;Aminobenzoate;ligY
K15063;Aminobenzoate;ligW
K15064;Aminobenzoate;desA
K15065;Aminobenzoate;desZ
K15066;Aminobenzoate;ligM
K15236;Cl. cyclohexane and Cl. benzene;linA
K15237;Cl. cyclohexane and Cl. benzene;linC
K15238;Cl. cyclohexane and Cl. benzene;linX
K15239;Cl. cyclohexane and Cl. benzene;linD
K15240;Cl. cyclohexane and Cl. benzene;linE
K15241;Cl. cyclohexane and Cl. benzene;pcpC
K15242;Aromatic;pcpA
K15242;Cl. cyclohexane and Cl. benzene;pcpA
K15243;Cl. cyclohexane and Cl. benzene;tftA
K15244;Cl. cyclohexane and Cl. benzene;tftB
K15245;Cl. cyclohexane and Cl. benzene;tftC
K15246;Cl. cyclohexane and Cl. benzene;tftD
K15253;Cl. cyclohexane and Cl. benzene;tcbC
K15303;Cytochrome P450;AKR7
K15511;Benzoate;boxA
K15512;Benzoate;boxB
K15513;Benzoate;boxC
K15514;Benzoate;boxD
K15567;Naphthalene;nmsB
K15567;Aromatic;nmsB
K15568;Naphthalene;nmsC
K15568;Aromatic;nmsC
K15569;Naphthalene;bnsE
K15569;Aromatic;bnsE
K15570;Naphthalene;bnsF
K15570;Aromatic;bnsF
K15571;Naphthalene;bnsG
K15571;Aromatic;bnsG
K15572;Naphthalene;bnsH
K15572;Aromatic;bnsH
K15573;Aromatic;bnsC
K15573;Naphthalene;bnsC
K15574;Naphthalene;bnsA
K15574;Aromatic;bnsA
K15575;Naphthalene;bnsB
K15575;Aromatic;bnsB
K15680;Cytochrome P450;HSD11B1
K15749;Dioxin;dbfB
K15749;Aromatic;dbfB
K15750;Dioxin;bphAb
K15750;Aromatic;bphAb
K15751;Aromatic;carAa
K15751;Dioxin;carAa
K15752;Dioxin;carAc
K15752;Aromatic;carAc
K15753;Aromatic;carAd
K15753;Dioxin;carAd
K15754;Dioxin;carBa
K15754;Aromatic;carBa
K15755;Aromatic;carBb
K15755;Dioxin;carBb
K15756;Dioxin;carC
K15756;Aromatic;carC
K15757;Aromatic;xylM
K15757;Toluene;xylM
K15757;Xylene;xylM
K15758;Aromatic;xylA
K15758;Toluene;xylA
K15758;Xylene;xylA
K15760;Toluene;tmoA
K15760;Aromatic;tmoA
K15761;Toluene;tmoB
K15761;Aromatic;tmoB
K15762;Aromatic;tmoC
K15762;Toluene;tmoC
K15763;Aromatic;tmoD
K15763;Toluene;tmoD
K15764;Toluene;tmoE
K15764;Aromatic;tmoE
K15765;Toluene;tmoF
K15765;Aromatic;tmoF
K15766;Benzoate;absAa
K15766;Toluene;absAa
K15767;Benzoate;absAb
K15767;Toluene;absAb
K15768;Aromatic;tsaM
K15768;Toluene;tsaM
K15769;Aromatic;tsaB
K15769;Toluene;tsaB
K15981;Steroid;CYP125A
K15982;Steroid;kshA
K15983;Steroid;kshB
K16045;Steroid;hsd
K16046;Steroid;CYP142
K16047;Steroid;hsaA
K16048;Steroid;hsaB
K16049;Aromatic;hsaC
K16049;Steroid;hsaC
K16050;Aromatic;hsaD
K16050;Steroid;hsaD
K16051;Steroid;tesI
K16157;Aromatic;mmoX
K16158;Aromatic;mmoY
K16159;Aromatic;mmoZ
K16160;Aromatic;mmoB
K16161;Aromatic;mmoC
K16162;Aromatic;mmoD
K16171;Styrene;faaH
K16173;Benzoate;acd
K16239;Aminobenzoate;bsdC
K16242;Aromatic;dmpN
K16242;Benzoate;dmpN
K16242;Cl. cyclohexane and Cl. benzene;dmpN
K16242;Toluene;dmpN
K16243;Aromatic;dmpL
K16243;Cl. cyclohexane and Cl. benzene;dmpL
K16243;Toluene;dmpL
K16243;Benzoate;dmpL
K16244;Toluene;dmpM
K16244;Benzoate;dmpM
K16244;Cl. cyclohexane and Cl. benzene;dmpM
K16244;Aromatic;dmpM
K16245;Benzoate;dmpO
K16245;Cl. cyclohexane and Cl. benzene;dmpO
K16245;Aromatic;dmpO
K16245;Toluene;dmpO
K16246;Cl. cyclohexane and Cl. benzene;dmpP
K16246;Toluene;dmpP
K16246;Aromatic;dmpP
K16246;Benzoate;dmpP
K16249;Cl. cyclohexane and Cl. benzene;dmpK
K16249;Aromatic;dmpK
K16249;Benzoate;dmpK
K16249;Toluene;dmpK
K16268;Aromatic;todC2
K16268;Cl. alkane and Cl.alkene;todC2
K16268;Cl. cyclohexane and Cl. benzene;todC2
K16268;Benzoate;todC2
K16268;Toluene;todC2
K16269;Cl. cyclohexane and Cl. benzene;todD
K16269;Styrene;todD
K16269;Benzoate;todD
K16269;PAH;todD
K16269;Aromatic;todD
K16269;Toluene;todD
K16270;Aromatic;todE
K16270;Xylene;todE
K16303;Aromatic;cmtAc
K16303;Xylene;cmtAc
K16304;Xylene;cmtAd
K16304;Aromatic;cmtAd
K16319;Aminobenzoate;andAc
K16320;Aminobenzoate;andAd
K16514;Benzoate;galD
K16515;Benzoate;galB
K16873;Furfural;hmfH
K16874;Furfural;hmfF
K16875;Furfural;hmfG
K16876;Furfural;hmfD
K16877;Furfural;hmfA
K16878;Furfural;hmfB
K16879;Furfural;hmfC
K16880;Furfural;hmfE
K16901;Aromatic;K16901
K17048;Ethylbenzene;ebdB
K17048;Aromatic;ebdB
K17049;Ethylbenzene;ebdC
K17049;Aromatic;ebdC
K17067;Cl. alkane and Cl.alkene;mdo
K17068;Cl. alkane and Cl.alkene;fdm
K17070;Cl. alkane and Cl.alkene;dcmA
K17683;Cytochrome P450;CYP2A6
K17685;Cytochrome P450;CYP2A13
K17689;Cytochrome P450;CYP3A4
K17690;Cytochrome P450;CYP3A5
K17709;Cytochrome P450;CYP2B6
K17712;Cytochrome P450;CYP2D6
K17719;Cytochrome P450;CYP2C9
K17754;Aromatic;cpnA
K17754;Caprolactam;cpnA
K18067;Aromatic;pht4
K18067;PAH;pht4
K18068;Aromatic;pht3
K18068;PAH;pht3
K18069;Aromatic;pht2
K18069;PAH;pht2
K18074;PAH;tphA2
K18074;Aromatic;tphA2
K18075;PAH;tphA3
K18075;Aromatic;tphA3
K18076;Aromatic;tphB
K18076;PAH;tphB
K18077;PAH;tphA1
K18077;Aromatic;tphA1
K18087;Dioxin;bphAc
K18087;Aromatic;bphAc
K18088;Dioxin;bphAd
K18088;Aromatic;bphAd
K18089;Benzoate;todB
K18089;Toluene;todB
K18089;Aromatic;todB
K18089;Cl. cyclohexane and Cl. benzene;todB
K18089;Cl. alkane and Cl.alkene;todB
K18090;Cl. alkane and Cl.alkene;todA
K18090;Cl. cyclohexane and Cl. benzene;todA
K18090;Aromatic;todA
K18090;Toluene;todA
K18090;Benzoate;todA
K18092;Ethylbenzene;etbD
K18092;Aromatic;etbD
K18199;Caprolactam;inhA
K18227;Aromatic;cmtAa
K18227;Xylene;cmtAa
K18242;Naphthalene;nagG
K18243;Naphthalene;nagH
K18248;Aminobenzoate;andAb
K18249;Aminobenzoate;andAa
K18251;Aromatic;phtAa
K18251;PAH;phtAa
K18252;PAH;phtAb
K18252;Aromatic;phtAb
K18253;PAH;phtAc
K18253;Aromatic;phtAc
K18254;PAH;phtAd
K18254;Aromatic;phtAd
K18255;Aromatic;phtB
K18255;PAH;phtB
K18256;PAH;phtC
K18257;PAH;phdE
K18257;Aromatic;phdE
K18275;PAH;phdK
K18293;Aromatic;cymAb
K18293;Xylene;cymAb
K18312;Styrene;styC
K18364;Aromatic;bphH
K18364;Dioxin;bphH
K18364;Xylene;bphH
K18364;Benzoate;bphH
K18365;Dioxin;bphI
K18365;Xylene;bphI
K18365;Aromatic;bphI
K18365;Benzoate;bphI
K18366;Dioxin;bphJ
K18366;Benzoate;bphJ
K18366;Xylene;bphJ
K18366;Aromatic;bphJ
K18541;Aminobenzoate;mdlY
K18687;Steroid;fadD3
K19065;Aromatic;mobA
K19065;Benzoate;mobA
K19065;PAH;mobA
K19066;Benzoate;E1.3.8.10
K19067;Benzoate;E1.3.8.11
K19515;Benzoate;bamB
K19515;Aromatic;bamB
K19516;Benzoate;bamC
K19516;Aromatic;bamC
K19629;Toluene;tsaD1
K19630;Toluene;tsaC1
K19709;Aminobenzoate;ydiF
K19837;Atrazine;atzE
K19958;Aromatic;bnsD
K19958;Naphthalene;bnsD
K19960;Aromatic;chnA
K19960;Caprolactam;chnA
K19961;Aromatic;chnD
K19961;Caprolactam;chnD
K19962;Caprolactam;chnE
K19963;Caprolactam;nylC
K20199;Toluene;pchA
K20200;Toluene;pchC
K20218;Toluene;hipH
K20458;Aminobenzoate;hcl
K20458;Benzoate;hcl
K20509;Benzoate;madB
K20625;Cl. alkane and Cl.alkene;ahy
K20626;Styrene;lcdA
K20627;Styrene;lcdB
K20712;Aminobenzoate;glnA
K20806;Fluorobenzoate;bxn
K20807;Fluorobenzoate;nthB
K20807;Aminobenzoate;nthB
K20807;Styrene;nthB
K20808;Fluorobenzoate;cbdB
K20808;Aromatic;cbdB
K20809;Aromatic;cbdC
K20809;Fluorobenzoate;cbdC
K20941;Benzoate;graF
K20942;Benzoate;graA
K20943;Benzoate;E1.14.13.219
K20944;Benzoate;tsdB
K20990;Aminobenzoate;E3.1.1.92
K21104;PAH;E3.1.1.101
K21105;PAH;E3.1.1.102
K21317;Aromatic;bmoX
K21318;Aromatic;bmoY
K21319;Aromatic;bmoZ
K21320;Aromatic;bmoC
K21321;Aromatic;bmoB
K21322;Aromatic;bmoD
K21593;Atrazine;triA
K21607;Cl. cyclohexane and Cl. benzene;pcpD
K21647;Cl. alkane and Cl.alkene;pceA
K21648;Cl. alkane and Cl.alkene;pceB
K21683;Nitrotoluene;dntB
K21725;Aminobenzoate;pnpA
K21726;Aminobenzoate;npcA
K21727;Aminobenzoate;npcB
K21759;Aromatic;bsdD
K21759;Aminobenzoate;bsdD
K21802;Aminobenzoate;vdh
K22270;Benzoate;nagX
K22353;Cl. alkane and Cl.alkene;etnC
K22354;Cl. alkane and Cl.alkene;etnA
K22355;Cl. alkane and Cl.alkene;etnB
K22356;Cl. alkane and Cl.alkene;etnD
K22357;Cl. alkane and Cl.alkene;amoA
K22358;Cl. alkane and Cl.alkene;amoE
K22359;Cl. alkane and Cl.alkene;amoB
K22360;Cl. alkane and Cl.alkene;amoC
K22361;Cl. alkane and Cl.alkene;amoD
K22362;Cl. alkane and Cl.alkene;amoF
K22363;Cl. alkane and Cl.alkene;etnE
K22553;Benzoate;CYP199A2
K22676;Aromatic;bphB
K22676;Dioxin;bphB
K22677;Dioxin;bphD
K22677;Aromatic;bphD
K22678;Dioxin;dhl1
K22715;Dioxin;dxnA1
K22715;Aromatic;dxnA1
K22716;Aromatic;dxnA2
K22716;Dioxin;dxnA2
K22717;Dioxin;dxnB
K22717;Aromatic;dxnB
K22958;Aminobenzoate;lpdC
K22959;Aminobenzoate;lpdB
K22960;Aminobenzoate;lpdD
K23351;Benzoate;gcdC
K23352;Benzoate;gcdD
K23359;Atrazine;biuH
K23526;Aminobenzoate;gcoA
K23527;Aminobenzoate;gcoB
K23528;Aminobenzoate;pnpB
K23529;Cl. cyclohexane and Cl. benzene;E1.6.5.7
K23529;Aminobenzoate;E1.6.5.7
K23548;Nitrotoluene;hupU
K23549;Nitrotoluene;hupV
K23790;Cytochrome P450;GSTP
K24244;Aminobenzoate;ligXc
K24245;Aminobenzoate;ligXd
K24293;Cl. cyclohexane and Cl. benzene;tcpA
K25916;Aminobenzoate;mtvB
K25932;Aminobenzoate;ppcA
K25933;Aminobenzoate;ppcB
K25934;Aminobenzoate;ppcC
K25935;Aminobenzoate;ppcD
K25936;Aminobenzoate;ppsA
K25937;Aminobenzoate;ppsB
K25938;Aminobenzoate;ppsC
